twitter_id,date,tweet
1506780391469985802,2022-03-23 23:50:14+00:00,"b'Titans are signing back linebacker Ola Adeniyi to a one-year deal, per his agents @DrewJRosenhaus and @RyanMatha.'"
1506760589351309321,2022-03-23 22:31:33+00:00,b'RT @cheetah: End of an era \xe2\x9c\x8c\xf0\x9f\x8f\xbf!!! Miami I\xe2\x80\x99m coming home https://t.co/ykcZcSuy7N'
1506755800789917698,2022-03-23 22:12:31+00:00,b'RT @JeffPassan: News at ESPN with @wojespn: There is cautious optimism that the New York City vaccine mandate keeping Kyrie Irving off the\xe2\x80\xa6'
1506728528842211333,2022-03-23 20:24:09+00:00,b'RT @FieldYates: Extension eligible WRs from the 2019 NFL Draft include: \n- Deebo Samuel\n- A.J. Brown\n- DK Metcalf\n- Terry McLaurin\n- Dionta\xe2\x80\xa6'
1506717617419177987,2022-03-23 19:40:48+00:00,"b'Former Patriots\xe2\x80\x99 CB Malcolm Butler is returning to New England on a two-year deal worth up to $9 million, per his agent @dsimpsonlaw.'"
1506706107217203200,2022-03-23 18:55:03+00:00,b'RT @MySportsUpdate: This is great: Safety Deon Bush signed with the #Chiefs this morning. \n\nHe quickly realized the timing was terrible. \xf0\x9f\x98\x82\xe2\x80\xa6'
1506705801561485317,2022-03-23 18:53:50+00:00,"b'Even after today\xe2\x80\x99s trade for former Chiefs\xe2\x80\x99 WR Tyreek Hill, the Dolphins still have two No. 1s next year - their own and San Francisco\xe2\x80\x99s.'"
1506697748166365184,2022-03-23 18:21:50+00:00,"b""Dolphins' odds to win Super Bowl at Caesars Sportsbook improved from 70-1 to 40-1 while their odds to win the AFC improved from 35-1 to 20-1.\n\nChiefs' odds to win Super Bowl at Caesars Sportsbook grew from +850 to +900 while their odds to win the AFC are now +500 from +400."""
1506696345926651904,2022-03-23 18:16:16+00:00,"b'More on Miami shipping five draft picks, including first- and second-round picks this year, to Kansas City in exchange for six-time Pro-Bowl WR Tyreek Hill:\n\nhttps://t.co/VyTZvGSTiu'"
1506695000620478468,2022-03-23 18:10:55+00:00,"b'Free-agent defensive backs Rashaan Melvin and Dontae Johnson have resigned one-year deals with their respective teams, the Panrhers and 49ers, per their agent @DrewJRosenhaus.'"
1506687605689270279,2022-03-23 17:41:32+00:00,b'Anyone disagree\xe2\x80\xa6.? https://t.co/1sp6cbhh09'
1506684226900533253,2022-03-23 17:28:07+00:00,"b'Here is the trade the Chiefs and Jets had in place for Tyreek Hill:\n\n\xf0\x9f\x8f\x88Chiefs would have gotten picks No. 35, 38 and 69\n\n\xf0\x9f\x8f\x88Jets would have gotten Hill and No. 103.'"
1506682940180344835,2022-03-23 17:23:00+00:00,"b'Jets trade offer to the Chiefs for Tyreek Hill - that Kansas City would have accepted if the WR opted for NY - did not include a first-round pick, but rather multiple picks that were commensurate to the Dolphins\xe2\x80\x99 offer based on the draft value chart that teams use, per sources.'"
1506677357955928072,2022-03-23 17:00:49+00:00,b'Dolphins surrounding Tua Tagovailoa with these offensive additions:\n\n\xf0\x9f\x8f\x88WR Tyreek Hill\n\xf0\x9f\x8f\x88LT Terron Armstead \n\xf0\x9f\x8f\x88LG Connor Williams\n\xf0\x9f\x8f\x88WR Cedrick Wilson\n\xf0\x9f\x8f\x88RB Chase Edmonds\n\xf0\x9f\x8f\x88RB Raheem Mostert \n\xf0\x9f\x8f\x88FB Alec Ingold \n\xf0\x9f\x8f\x88WR Trent Sherfield\n\nAnd tagging TE Mike Gesicki.'
1506676546311962631,2022-03-23 16:57:35+00:00,b'More Tyreek Hill contract details: The $72.2 million becomes fully guaranteed at the start of the 2023 league year. The other $52.535 million is fully guaranteed at signing.'
1506675122408730635,2022-03-23 16:51:56+00:00,"b'RT @FieldYates: Updated 2022 projection for Travis Kelce: 216 catches on 306 targets, 2,714 yards, 21 TD.'"
1506675075201875971,2022-03-23 16:51:45+00:00,b'RT @DrewJRosenhaus: Congrats \xe2\x81\xa6@cheetah\xe2\x81\xa9 !! https://t.co/bS7V87meA7'
1506673785621131274,2022-03-23 16:46:37+00:00,b'How Tyreek Hill will look this season: https://t.co/9nOScWgloF'
1506672210861338629,2022-03-23 16:40:22+00:00,"b'Dolphins are giving their new WR Tyreek Hill a 4-year, $120 million extension, including $72.2 million guaranteed, per \xe2\x81\xa6@DrewJRosenhaus\xe2\x81\xa9. https://t.co/rkSWmAOOMt'"
1506671247962570753,2022-03-23 16:36:32+00:00,"b'And Tyreek Hill will get a new contract, making him the NFL\xe2\x80\x99s newest highest-paid WR one week after Davante Adams had set the mark. And Hill now has agreed to a new contract with the Dolphins, per @DrewJRosenhaus, @JasonRosenhaus and @NFLrecord. https://t.co/r75Gz8IVv4'"
1506670698835623951,2022-03-23 16:34:21+00:00,"b'Chiefs are trading six-time Pro-Bowl WR Tyreek Hill to the Miami Dolphins for five draft picks: a 2022 1st-round pick (No. 29), a 2nd-round pick (No. 50) and a 4th-round pick, as well as 4th- and 6th-round picks in the 2023 draft, sources tell ESPN.'"
